post_id	date	num_likes	num_angry	num_shares
904277726319518_324742701614780	2018-09-01T19:38:05+0000	3091	54	1746
904277726319518_687298434972537	2018-09-01T17:13:45+0000	24011	133	16763
904277726319518_706985379699853	2018-09-01T16:51:58+0000	3067	18	942
904277726319518_267153130601169	2018-09-01T16:02:04+0000	9592	466	6331
904277726319518_448099655684800	2018-09-01T00:14:01+0000	3781	8	3567
904277726319518_308285579727353	2018-08-31T20:50:06+0000	2841	16	1431
904277726319518_2033497536684545	2018-08-31T20:22:36+0000	2349	3	964
904277726319518_723217421349761	2018-08-31T19:54:18+0000	1607	4	330
904277726319518_331784527592134	2018-08-31T19:16:47+0000	1980	3	595
904277726319518_2183872578528421	2018-08-31T15:36:41+0000	4488	37	3522
904277726319518_267313433916155	2018-08-31T14:07:31+0000	7412	35	4834
904277726319518_231047384423417	2018-08-31T14:06:16+0000	2869	35	2257
904277726319518_229971037679542	2018-08-30T21:48:54+0000	1746	5	768
904277726319518_443952702760682	2018-08-30T20:04:50+0000	3226	33	1712
904277726319518_289344558336873	2018-08-30T19:50:55+0000	2148	1	1832
904277726319518_1921544011259546	2018-08-30T18:17:13+0000	6506	11	3832
904277726319518_231202810881668	2018-08-30T11:54:23+0000	1523	2	674
904277726319518_298840140697462	2018-08-30T00:46:02+0000	2211	3	1322
904277726319518_1977577569201054	2018-08-29T18:31:32+0000	20696	79	4890
904277726319518_2162209227359773	2018-08-29T14:36:44+0000	23119	97	9665
904277726319518_500166247127603	2018-08-29T13:53:11+0000	1503	1	653
904277726319518_243442353024493	2018-08-29T13:23:34+0000	1782	3	630
904277726319518_677836972587113	2018-08-29T10:12:04+0000	2595	9	2029
904277726319518_2059063804424269	2018-08-28T23:24:41+0000	1758	8	645
904277726319518_321176681964893	2018-08-28T16:01:10+0000	1441	6	438
904277726319518_216017482606184	2018-08-28T15:00:31+0000	1792	2	943
904277726319518_2120170958226021	2018-08-28T14:45:26+0000	1943	10	684
904277726319518_427909837732386	2018-08-28T13:03:06+0000	987	2	303
904277726319518_232564860750723	2018-08-28T12:45:26+0000	675	2	419
904277726319518_2155206994741634	2018-08-28T12:27:34+0000	1015	6	841
904277726319518_287088955424500	2018-08-27T18:40:00+0000	9143	24	2536
904277726319518_447067149118500	2018-08-27T15:39:26+0000	1605	3	615
904277726319518_529135860892511	2018-08-25T14:44:49+0000	18371	72	3409
904277726319518_282671069224267	2018-08-25T13:35:56+0000	1344	3	264
904277726319518_327469014495392	2018-08-25T12:57:55+0000	2561	15	1481
904277726319518_324181341476260	2018-08-25T12:16:43+0000	2383	15	1543
904277726319518_2159877140703443	2018-08-25T12:13:26+0000	942	7	549
904277726319518_2179256245655095	2018-08-25T12:08:40+0000	1241	1	497
904277726319518_323271331575904	2018-08-24T22:17:53+0000	2118	50	986
904277726319518_706802066354233	2018-08-24T21:03:41+0000	1923	7	688
904277726319518_669426053433523	2018-08-24T17:06:01+0000	26361	107	10108
904277726319518_2103390079911288	2018-08-24T15:03:13+0000	1347	1	551
904277726319518_2365378356822213	2018-08-24T14:38:54+0000	2958	10	2466
904277726319518_532933560489508	2018-08-24T14:26:41+0000	650	3	139
904277726319518_221834872009948	2018-08-24T14:16:34+0000	2755	10	1197
904277726319518_520662268394672	2018-08-24T12:07:18+0000	1693	7	713
904277726319518_458299737991882	2018-08-24T01:01:54+0000	3402	7	3485
904277726319518_2081116978565713	2018-08-23T21:51:55+0000	1976	6	893
904277726319518_2211649119069124	2018-08-23T20:36:30+0000	2250	3	2225
904277726319518_473697683125319	2018-08-23T20:24:08+0000	1905	18	1285
904277726319518_237586120237229	2018-08-23T17:51:02+0000	72908	389	54395
904277726319518_236927600343801	2018-08-23T15:27:29+0000	1695	4	710
904277726319518_1117568325079232	2018-08-23T13:39:53+0000	1672	6	917
904277726319518_1521604347939527	2018-08-23T00:53:08+0000	2068	1	791
904277726319518_485741248606422	2018-08-22T19:50:21+0000	3538	67	2632
904277726319518_1910466772367270	2018-08-22T18:10:19+0000	752	1	152
904277726319518_318555245561051	2018-08-22T15:51:11+0000	816	2	183
904277726319518_1760256497421336	2018-08-22T14:27:47+0000	2889	11	1580
904277726319518_1346272992169521	2018-08-22T13:50:13+0000	2182	5	1091
904277726319518_387815588419977	2018-08-22T13:23:25+0000	6670	35	2383
904277726319518_454450665039838	2018-08-22T11:00:39+0000	2188	20	2062
904277726319518_2163097690615120	2018-08-22T10:45:54+0000	3787	30	5148
904277726319518_256316841659262	2018-08-22T10:17:26+0000	1971	24	1359
904277726319518_583227725412977	2018-08-21T20:47:25+0000	1901	11	914
904277726319518_724328721244406	2018-08-21T19:28:05+0000	1700	1	702
904277726319518_1927334527573082	2018-08-21T16:01:22+0000	15634	71	8967
904277726319518_463392630829511	2018-08-21T14:37:52+0000	1498	4	717
904277726319518_2068230726542024	2018-08-21T02:20:11+0000	801	1	438
904277726319518_229849424325674	2018-08-20T23:43:29+0000	12752	32	7100
904277726319518_332078514201875	2018-08-20T21:37:28+0000	1367	8	869
904277726319518_289295581848019	2018-08-20T19:48:21+0000	5198	11	1717
904277726319518_2126928297576237	2018-08-20T15:16:00+0000	1533	9	465
904277726319518_692845611068335	2018-08-20T14:54:05+0000	17060	70	8076
904277726319518_1720588958066534	2018-08-20T13:45:19+0000	2302	1	1888
904277726319518_250261315627220	2018-08-20T03:05:33+0000	4059	67	4813
904277726319518_211493036385406	2018-08-19T13:04:26+0000	3914	19	1617
904277726319518_957070001143474	2018-08-18T20:28:46+0000	16384	53	3039
904277726319518_1835783146517678	2018-08-18T12:53:27+0000	9013	19	1688
904277726319518_1901847453229202	2018-08-17T23:35:53+0000	1278	5	292
904277726319518_263876067560868	2018-08-17T20:34:58+0000	1555	8	649
904277726319518_263050194519970	2018-08-17T20:17:06+0000	852	1	225
904277726319518_272622140009012	2018-08-17T19:48:54+0000	771	0	218
904277726319518_2044455585566041	2018-08-17T15:59:16+0000	1667	3	801
904277726319518_1994839313901543	2018-08-16T20:56:23+0000	965	2	573
904277726319518_865703783624143	2018-08-16T20:45:58+0000	846	0	380
904277726319518_279643402813951	2018-08-16T20:20:05+0000	802	0	288
904277726319518_316996552180511	2018-08-16T13:38:21+0000	1397	2	598
904277726319518_539597169806026	2018-08-15T19:43:28+0000	2649	37	1179
904277726319518_523607281409688	2018-08-15T18:32:05+0000	1682	16	535
904277726319518_320059745229373	2018-08-15T15:32:52+0000	1043	3	283
904277726319518_278472856300917	2018-08-15T13:34:26+0000	975	0	224
904277726319518_508165606276450	2018-08-15T13:31:55+0000	1016	2	571
904277726319518_2167970420145513	2018-08-14T19:21:16+0000	2050	9	1960
904277726319518_312141932888700	2018-08-14T16:54:10+0000	667	1	181
904277726319518_878125209046706	2018-08-14T14:23:32+0000	1489	12	1150
904277726319518_227364964608120	2018-08-14T13:17:04+0000	1593	4	822
904277726319518_1120148864800021	2018-08-13T20:52:58+0000	2126	13	1178
904277726319518_219050502125062	2018-08-13T12:15:38+0000	2088	6	1075
