post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2808076015939670	2020-01-27T15:11:56+0000	"Devemos a um baiano, meu secret\u00e1rio de Cultura e ex-ministro Juca Ferreira esse resultado extraordin\u00e1rio."	8370	7	712
904277726319518_2806271942786744	2020-01-26T16:58:51+0000	"Quer\u00edamos agradecer as mensagens de carinho pela passagem do meu anivers\u00e1rio. Que bom ter amigos queridos como voc\u00eas!"	29387	6	576
904277726319518_2803986739681931	2020-01-25T14:34:52+0000	"Cr\u00f4nica da semana sobre a hist\u00f3ria do BNDES e a caixa-preta vazia."	2543	7	507
904277726319518_2800724786674793	2020-01-23T23:08:01+0000	"Bolsonaro errou ao extinguir o Minist\u00e9rio da Seguran\u00e7a P\u00fablica. Agora, por vaidade, quer recri\u00e1-lo. Moro seria esvaziado e amea\u00e7a deixar o governo. Algu\u00e9m sair\u00e1 bem menor do epis\u00f3dio."	6194	9	360
904277726319518_2798299066917365	2020-01-22T17:19:28+0000	"O SiSU \u00e9 das coisas mais inovadoras que fizemos no MEC. Nenhum paralelo no mundo. Boa sorte, mo\u00e7ada!!"	7453	4	395
904277726319518_2798081073605831	2020-01-22T15:06:06+0000	"Editorial do New York Times: Brasil considera crime reportagens de Glenn Greenwald. Ele enfrentou amea\u00e7as cont\u00ednuas desde que revelou que os textos vazados mostravam atividade ilegal de um juiz que ajudou a abrir caminho para a elei\u00e7\u00e3o de Jair Bolsonaro."	3784	49	851
904277726319518_2797774900303115	2020-01-22T11:59:49+0000	"Melhor artigo que eu li sobre a crise com o epis\u00f3dio Alvim."	1863	8	336
904277726319518_2794272223986716	2020-01-20T14:43:19+0000	"VIVENDAS DA BARRA PESADA\nPresidente da Casa da Moeda destitui comit\u00ea para garantir contrata\u00e7\u00e3o de amigo por R$ 40 mil/m\u00eas: Eduardo Zimmer Sampaio e Saudir Filimberti dividem uma casa no Condom\u00ednio do presidente Jair Bolsonaro. Mamata da pesada!"	2623	1498	2119
904277726319518_2788143047932967	2020-01-17T13:50:39+0000	"Semi\u00f3tica: O problema definitivamente n\u00e3o \u00e9 o secret\u00e1rio."	8327	112	897
904277726319518_2787053274708611	2020-01-17T00:17:14+0000	"Bolsonaro diz que vida \"acabou\" ap\u00f3s elei\u00e7\u00e3o. N\u00e3o foi a vida, foram as f\u00e9rias de 30 anos! Deve ser duro mesmo."	8331	85	2342
904277726319518_2781359461944659	2020-01-14T12:03:25+0000	"Wagner Moura: \u201cA Ancine censurou o filme. \u00c9 uma censura diferente, que usa instrumentos burocr\u00e1ticos para dificultar produ\u00e7\u00f5es das quais o governo discorda. N\u00e3o tenho a menor d\u00favida de que \"Marighella\" n\u00e3o estreou ainda por uma quest\u00e3o pol\u00edtica.\"\n\u201cNo ano em que investiram na destrui\u00e7\u00e3o do nosso cinema, 'Bacurau' e 'A Vida Invis\u00edvel' ganharam pr\u00eamios no Festival de Cannes e, agora, 'Democracia em Vertigem' foi indicado ao Oscar. Duvido que qualquer um desses filmes conseguisse financiamento da Ancine hoje\"."	10136	335	3543
904277726319518_2780344738712798	2020-01-13T23:48:59+0000	"'H\u00e1 quanto tempo a gente n\u00e3o faz um bom filme no pa\u00eds?', questionou o \u201cg\u00eanio\u201d Bolsonaro. Ignorante!"	5275	971	1317
904277726319518_2774713159275956	2020-01-11T12:15:03+0000	"Gest\u00e3o D\u00f3ria/Covas: Custo de acabar com mural de grafite na Av. 23 de maio \u00e9 de R$ 1,3 milh\u00e3o ao ANO!"	1572	541	443
904277726319518_2774602482620357	2020-01-11T11:08:32+0000	"Coluna da semana sobre as causas da queda dos homic\u00eddios discute o sistema penitenci\u00e1rio federal e a for\u00e7a nacional criados pelo presidente Lula."	976	5	137
904277726319518_2771145596299379	2020-01-09T21:42:56+0000	""	6103	15	1340
904277726319518_2767920453288560	2020-01-08T11:38:53+0000	"Al\u00e9m dos diretamente envolvidos no conflito EUA-Ir\u00e3, algum outro pa\u00eds sofreu danos al\u00e9m do Brasil? A imagem do Brasil no exterior, em toda sua hist\u00f3ria, nunca esteve t\u00e3o comprometida. E o governo tenta se equilibrar na pr\u00f3pria incompet\u00eancia. Lastim\u00e1vel!"	11305	90	958
904277726319518_2762416943838911	2020-01-05T20:27:00+0000	"Entrevista \u00e0 TV da Assembleia de MG que concedi no final do ano passado."	2048	5	371
